nav-link href,listing-location,price,bed,bath,listing-floorarea,listing-floorarea 2
https://www.rumah.com/listing-properti/dijual-hotsale-rumah-mewah-siap-huni-2-lantai-di-discovey-bintaro-sc2039iq-oleh-shanty-suntea-21762079,"Discovery Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten","2,8 M",3,2,117 m²,Rp 26.666.667 per m²
https://www.rumah.com/listing-properti/dijual-breezy-house-myza-bsd-oleh-s-juniko-19333348,"Jl. BSD Raya Pusat, Pagedangan, Kec. Pagedangan, BSD, Tangerang Selatan, Banten","1,8 M",4,3,88 m²,Rp 25.714.286 per m²
https://www.rumah.com/listing-properti/dijual-exclusive-rumah-mewah-semi-furnished-di-discovery-bintaro-sc10090iq-oleh-shanty-suntea-21762055,"Discovery Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten","5,5 M",4,3,185 m²,Rp 26.190.476 per m²
https://www.rumah.com/listing-properti/dijual-perumahan-alam-sutra-serpong-utara-tangerang-selatan-banten-oleh-supinda-wijaya-21762038,"JL.sutra jelita utama no 88 Serpong Utara Banten, Alam Sutera, Tangerang Selatan, Banten","7,65 M",7,5,480 m²,Rp 17.152.466 per m²
https://www.rumah.com/listing-properti/dijual-rumah-baru-siap-huni-hanya-1-unit-dekat-tol-parigi-di-bintaro-jaya-sektor-9-oleh-siti-aminah-21319496,"Discovery, Bintaro, Tangerang Selatan, Banten","4,3 M",5,4,224 m²,Rp 27.215.190 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-dalam-cluster-di-pondok-ranji-dekat-stasiun-ciputat-timur-oleh-erna-wati-21761960,"Ciputat Timur, Tangerang Selatan, Banten","2,5 M",3,3,110 m²,Rp 30.864.198 per m²
https://www.rumah.com/listing-properti/dijual-brand-new-house-at-bintaro-sektor-5-oleh-sandra-kurniawan-21761807,"Bintaro sektor 5, Bintaro, Tangerang Selatan, Banten","3,9 M",4,5,326 m²,Rp 21.666.667 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-posisi-hoek-dalam-cluster-di-bintaro-jaya-sektor-9-tangsel-oleh-erna-wati-21761918,"Bintaro, Tangerang Selatan, Banten","3,2 M",5,3,200 m²,Rp 26.016.260 per m²
https://www.rumah.com/listing-properti/dijual-jual-rumah-seken-terawat-siap-huni-bisa-kpr-dekat-bsd-tangsel-bebas-banjir-oleh-yonathan-mouses-20920670,"BSD, Tangerang Selatan, Banten","2,39 M",3,3,222 m²,Rp 14.753.086 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-harga-all-in-bisa-nego-siap-kpr-di-pamulang-park-residence-bebas-banjir-oleh-yonathan-mouses-20922490,"Pamulang Park Residence, Pamulang, Tangerang Selatan, Banten",950 jt,2,1,60 m²,Rp 7.851.240 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-seken-terawat-luas-strategis-di-serpong-harga-nego-bisa-kpr-oleh-sarah-maghfiratan-warahmah-20176595,"Jalan Soka, Serpong, Tangerang Selatan, Banten","2,39 M",3,3,222 m²,Rp 14.753.086 per m²
https://www.rumah.com/listing-properti/dijual-rumah-cantik-ala-mediterania-pamulang-estate-luas-dan-siap-huni-oleh-maria-chandra-20519452,"Pamulang estate, Pamulang, Tangerang Selatan, Banten",2 M,5,3,260 m²,Rp 11.111.111 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dan-paviliun-luas-harga-bagus-banget-komplek-bintaro-jaya-sektor-2-oleh-maria-chandra-21397824,"Bintaro jaya sektor 2, Bintaro, Tangerang Selatan, Banten",7 M,5,5,413 m²,Rp 12.152.778 per m²
https://www.rumah.com/listing-properti/dijual-pondok-ranji-ciputat-residence-39-oleh-miko-hamong-21747374,"Cluster Residence 39, Ciputat Timur, Tangerang Selatan, Banten","1,85 M",4,3,162 m²,Rp 18.877.551 per m²
